Wall time,Step,Value
1709517921.9439971,5,0.9321132898330688
1709517925.492756,18,1.105087399482727
1709517926.990084,24,1.0052590370178223
1709517931.5218723,40,0.9246073365211487
1709517931.9788713,42,0.9664483666419983
1709517932.6324089,45,1.0201847553253174
1709517934.432405,53,0.9904345870018005
1709517935.0954041,56,1.0147151947021484
1709517938.5067391,71,1.046735167503357
1709517939.176743,74,1.0146853923797607
1709517943.5378585,94,0.9562472701072693
1709517945.304541,102,0.9903243184089661
1709517945.965144,105,0.9652218818664551
1709517946.1781473,106,0.9859721660614014
1709517947.7467606,113,0.9630190134048462
1709517950.5919726,126,1.0631345510482788
1709517953.4364643,139,1.0500560998916626
1709517955.8454652,150,1.0205771923065186
1709517957.0811496,155,1.023510217666626
1709517957.7701488,158,1.0089540481567383
1709517959.804975,167,0.9519799947738647
1709517960.0209746,168,0.9708455204963684
1709517962.215886,178,0.9492945075035095
1709517963.3364356,183,0.9457718729972839
1709517963.7769217,185,0.956295907497406
1709517963.9959264,186,0.9431831240653992
1709517964.885968,190,0.9614589810371399
1709517966.739545,198,0.9900104403495789
1709517968.5194116,206,0.9809539318084717
1709517968.7404146,207,1.0231504440307617
1709517969.8754578,212,0.9724236130714417
1709517972.3620598,223,0.9466046690940857
1709517973.7043464,229,0.9486072063446045
1709517974.8584754,234,0.9555992484092712
1709517978.2438703,249,1.0156270265579224
1709517979.6147683,255,1.0290253162384033
1709517980.7226179,260,1.025299072265625
1709517982.23617,267,1.002440094947815
1709517989.4233222,271,0.24495312571525574
1709517989.8753216,273,0.25245022773742676
1709517999.622847,292,1.0451873540878296
1709518000.733631,297,1.0192025899887085
1709518000.959631,298,1.002220869064331
1709518002.0633466,303,1.0010005235671997
1709518003.1474483,308,0.9593261480331421
1709518003.566512,310,0.9602105617523193
1709518005.3236308,318,0.9366875290870667
1709518005.5406303,319,0.9395923614501953
1709518007.9537873,330,0.9340828061103821
1709518009.9494781,339,0.9634945392608643
1709518011.7077155,347,0.9272074103355408
1709518015.2028365,363,0.9070946574211121
1709518016.0570073,367,0.881263256072998
1709518018.2279854,377,0.8762791156768799
1709518027.7713888,421,0.8847395777702332
1709518027.9823885,422,0.9395480751991272
1709518029.728237,430,0.9148140549659729
1709518031.6662,439,0.9635868072509766
1709518032.1002357,441,0.9755504727363586
1709518032.3223102,442,0.9265773296356201
